model,experiment,condition,class,precision,recall,f1,support
resnet,full_to_limited,0.1,GolfSwing,0.4363,0.6939,0.5076,37
resnet,full_to_limited,0.1,Haircut,0.5301,0.5133,0.502,35
resnet,full_to_limited,0.1,HammerThrow,0.006,0.0072,0.0065,42
resnet,full_to_limited,0.1,Hammering,0.0,0.0,0.0,39
resnet,full_to_limited,0.1,HandstandPushups,0.8274,0.6654,0.7318,36
resnet,full_to_limited,0.1,HandstandWalking,0.1448,0.3453,0.192,31
resnet,full_to_limited,0.1,HeadMassage,0.629,0.6648,0.6204,41
resnet,full_to_limited,0.1,HighJump,0.4444,0.0206,0.0389,34
resnet,full_to_limited,0.1,HorseRace,0.8833,0.9128,0.8924,35
resnet,full_to_limited,0.1,HorseRiding,0.8285,0.9402,0.8784,46
resnet,full_to_limited,0.1,HulaHoop,0.3365,0.7005,0.4261,35
resnet,full_to_limited,0.1,IceDancing,0.9132,0.8772,0.8934,43
resnet,full_to_limited,0.1,JavelinThrow,0.2175,0.5337,0.3079,32
resnet,full_to_limited,0.1,JugglingBalls,0.4358,0.7426,0.543,34
resnet,full_to_limited,0.1,JumpRope,0.0238,0.0155,0.0188,40
resnet,full_to_limited,0.1,JumpingJack,0.065,0.0908,0.0755,35
resnet,full_to_limited,0.1,Kayaking,0.7532,0.2967,0.3667,39
resnet,full_to_limited,0.1,Knitting,0.8429,0.8671,0.852,35
resnet,full_to_limited,0.1,LongJump,0.619,0.2332,0.3043,38
resnet,full_to_limited,0.1,Lunges,0.3534,0.2918,0.2943,36
resnet,full_to_limited,0.1,MilitaryParade,0.6025,0.7579,0.6497,35
resnet,full_to_limited,0.1,Mixing,0.6897,0.8108,0.742,40
resnet,full_to_limited,0.1,MoppingFloor,0.3722,0.5224,0.4039,31
resnet,full_to_limited,0.1,Nunchucks,0.4506,0.3496,0.3845,37
resnet,full_to_limited,0.1,ParallelBars,0.9471,0.5492,0.6849,33
resnet,full_to_limited,0.1,PizzaTossing,0.1386,0.0791,0.0988,30
resnet,full_to_limited,0.1,PlayingCello,0.8785,0.8516,0.8642,45
resnet,full_to_limited,0.1,PlayingDaf,0.6409,0.8076,0.7063,42
resnet,full_to_limited,0.1,PlayingDhol,0.8884,0.7314,0.7988,46
resnet,full_to_limited,0.1,PlayingFlute,0.6917,0.6687,0.6753,44
resnet,full_to_limited,0.1,PlayingGuitar,0.9148,0.9147,0.9051,46
resnet,full_to_limited,0.1,PlayingPiano,0.716,0.934,0.7667,30
resnet,full_to_limited,0.1,PlayingSitar,0.9194,0.8725,0.8929,44
resnet,full_to_limited,0.1,PlayingTabla,0.9453,0.6683,0.7748,31
resnet,full_to_limited,0.1,PlayingViolin,0.8181,0.6667,0.7212,28
resnet,full_to_limited,0.1,PoleVault,0.7263,0.1217,0.2046,41
resnet,full_to_limited,0.1,PommelHorse,0.8715,0.7706,0.809,35
resnet,full_to_limited,0.1,PullUps,0.5698,0.7976,0.6644,28
resnet,full_to_limited,0.1,Punch,0.8471,0.8136,0.8259,44
resnet,full_to_limited,0.1,PushUps,0.6914,0.7897,0.7013,29
resnet,full_to_limited,0.1,Rafting,0.7928,0.5672,0.654,32
resnet,full_to_limited,0.1,RockClimbingIndoor,0.5508,0.89,0.6784,39
resnet,full_to_limited,0.1,RopeClimbing,0.4351,0.2726,0.3202,34
resnet,full_to_limited,0.1,Rowing,0.7888,0.7309,0.726,39
resnet,full_to_limited,0.1,SalsaSpin,0.8087,0.5265,0.6267,38
resnet,full_to_limited,0.1,ShavingBeard,0.6704,0.3816,0.4463,45
resnet,full_to_limited,0.1,Shotput,0.3957,0.3795,0.3658,41
resnet,full_to_limited,0.1,SkateBoarding,0.7877,0.6141,0.671,34
resnet,full_to_limited,0.1,Skiing,0.8106,0.697,0.7436,38
resnet,full_to_limited,0.1,Skijet,0.7019,0.631,0.639,28
resnet,full_to_limited,0.1,SkyDiving,0.7739,0.7664,0.7567,31
resnet,full_to_limited,0.1,SoccerJuggling,0.6302,0.5947,0.591,40
resnet,full_to_limited,0.1,SoccerPenalty,0.8002,0.8925,0.842,39
resnet,full_to_limited,0.1,StillRings,0.9762,0.4533,0.6156,31
resnet,full_to_limited,0.1,SumoWrestling,0.8899,0.8702,0.8786,33
resnet,full_to_limited,0.1,Surfing,0.7041,0.8638,0.7716,37
resnet,full_to_limited,0.1,Swing,0.8955,0.4385,0.541,37
resnet,full_to_limited,0.1,TableTennisShot,0.6984,0.547,0.6085,37
resnet,full_to_limited,0.1,TaiChi,0.3966,0.7024,0.4553,28
resnet,full_to_limited,0.1,TennisSwing,0.7025,0.6313,0.6546,47
resnet,full_to_limited,0.1,ThrowDiscus,0.3891,0.3145,0.3344,37
resnet,full_to_limited,0.1,TrampolineJumping,0.7074,0.7538,0.7048,34
resnet,full_to_limited,0.1,Typing,0.7314,0.84,0.7749,40
resnet,full_to_limited,0.1,UnevenBars,0.8164,0.6146,0.6949,29
resnet,full_to_limited,0.1,VolleyballSpiking,0.7974,0.7986,0.7954,33
resnet,full_to_limited,0.1,WalkingWithDog,0.7055,0.3988,0.4875,35
resnet,full_to_limited,0.1,WallPushups,0.7102,0.7286,0.6911,38
resnet,full_to_limited,0.1,WritingOnBoard,0.8344,0.793,0.8064,41
resnet,full_to_limited,0.1,YoYo,0.6002,0.5423,0.5646,36
resnet,full_to_limited,0.25,ApplyEyeMakeup,0.6246,0.8886,0.7131,40
resnet,full_to_limited,0.25,ApplyLipstick,0.658,0.7719,0.6995,31
resnet,full_to_limited,0.25,Archery,0.6,0.1928,0.2744,40
resnet,full_to_limited,0.25,BabyCrawling,0.8358,0.6994,0.7592,36
resnet,full_to_limited,0.25,BalanceBeam,0.8141,0.5762,0.67,30
resnet,full_to_limited,0.25,BandMarching,0.7839,0.8157,0.7919,44
resnet,full_to_limited,0.25,BaseballPitch,0.7839,0.821,0.7866,41
resnet,full_to_limited,0.25,Basketball,0.7225,0.4583,0.5553,37
resnet,full_to_limited,0.25,BasketballDunk,0.9502,0.929,0.9378,38
resnet,full_to_limited,0.25,BenchPress,0.9839,0.961,0.9722,45
resnet,full_to_limited,0.25,Biking,0.8874,0.7987,0.811,38
resnet,full_to_limited,0.25,Billiards,0.8966,0.9196,0.9023,43
resnet,full_to_limited,0.25,BlowDryHair,0.7118,0.4841,0.5501,37
resnet,full_to_limited,0.25,BlowingCandles,0.6748,0.9242,0.7694,30
resnet,full_to_limited,0.25,BodyWeightSquats,0.3806,0.4451,0.3884,31
resnet,full_to_limited,0.25,Bowling,0.9676,0.9147,0.9394,43
resnet,full_to_limited,0.25,BoxingPunchingBag,0.7424,0.4406,0.5284,45
resnet,full_to_limited,0.25,BoxingSpeedBag,0.7768,0.8142,0.7933,38
resnet,full_to_limited,0.25,BreastStroke,0.7414,0.7307,0.7297,28
resnet,full_to_limited,0.25,BrushingTeeth,0.448,0.2288,0.2998,35
resnet,full_to_limited,0.25,CleanAndJerk,0.8333,0.6475,0.7216,32
resnet,full_to_limited,0.25,CliffDiving,0.7405,0.3766,0.4775,39
resnet,full_to_limited,0.25,CricketBowling,0.3646,0.5004,0.418,39
resnet,full_to_limited,0.25,CricketShot,0.579,0.2302,0.3275,47
resnet,full_to_limited,0.25,CuttingInKitchen,0.6246,0.8944,0.6772,31
resnet,full_to_limited,0.25,Diving,0.9159,0.9107,0.9117,42
resnet,full_to_limited,0.25,Drumming,0.8929,0.7599,0.8166,45
resnet,full_to_limited,0.25,Fencing,0.9003,0.7452,0.8128,32
resnet,full_to_limited,0.25,FieldHockeyPenalty,0.5455,0.8049,0.6469,36
resnet,full_to_limited,0.25,FloorGymnastics,0.6663,0.6933,0.669,36
resnet,full_to_limited,0.25,FrisbeeCatch,0.8078,0.783,0.7866,36
resnet,full_to_limited,0.25,FrontCrawl,0.7764,0.7162,0.7294,38
resnet,full_to_limited,0.25,GolfSwing,0.4764,0.7121,0.5485,37
resnet,full_to_limited,0.25,Haircut,0.5487,0.6008,0.565,35
resnet,full_to_limited,0.25,HammerThrow,0.0056,0.0072,0.0063,42
resnet,full_to_limited,0.25,Hammering,0.0,0.0,0.0,39
resnet,full_to_limited,0.25,HandstandPushups,0.864,0.6913,0.7664,36
resnet,full_to_limited,0.25,HandstandWalking,0.1748,0.356,0.2086,31
resnet,full_to_limited,0.25,HeadMassage,0.6962,0.64,0.6232,41
resnet,full_to_limited,0.25,HighJump,0.25,0.0206,0.0377,34
resnet,full_to_limited,0.25,HorseRace,0.9241,0.9506,0.9351,35
resnet,full_to_limited,0.25,HorseRiding,0.8561,0.9402,0.894,46
resnet,full_to_limited,0.25,HulaHoop,0.4032,0.7381,0.4913,35
resnet,full_to_limited,0.25,IceDancing,0.8843,0.9293,0.9035,43
resnet,full_to_limited,0.25,JavelinThrow,0.2275,0.5761,0.3248,32
resnet,full_to_limited,0.25,JugglingBalls,0.5311,0.7546,0.6147,34
resnet,full_to_limited,0.25,JumpRope,0.0,0.0,0.0,40
resnet,full_to_limited,0.25,JumpingJack,0.0,0.0,0.0,35
resnet,full_to_limited,0.25,Kayaking,0.7631,0.4348,0.5085,39
resnet,full_to_limited,0.25,Knitting,0.8647,0.8562,0.8602,35
resnet,full_to_limited,0.25,LongJump,0.6049,0.2259,0.3014,38
resnet,full_to_limited,0.25,Lunges,0.3798,0.3761,0.3603,36
resnet,full_to_limited,0.25,MilitaryParade,0.6603,0.7955,0.7025,35
resnet,full_to_limited,0.25,Mixing,0.7572,0.8225,0.7847,40
resnet,full_to_limited,0.25,MoppingFloor,0.3854,0.5043,0.42,31
resnet,full_to_limited,0.25,Nunchucks,0.4817,0.3839,0.4017,37
resnet,full_to_limited,0.25,ParallelBars,0.9238,0.5182,0.6503,33
resnet,full_to_limited,0.25,PizzaTossing,0.1886,0.0906,0.1176,30
resnet,full_to_limited,0.25,PlayingCello,0.8716,0.8662,0.8669,45
resnet,full_to_limited,0.25,PlayingDaf,0.6941,0.8313,0.7501,42
resnet,full_to_limited,0.25,PlayingDhol,0.8819,0.7518,0.808,46
resnet,full_to_limited,0.25,PlayingFlute,0.6636,0.6538,0.6564,44
resnet,full_to_limited,0.25,PlayingGuitar,0.9114,0.9147,0.9025,46
resnet,full_to_limited,0.25,PlayingPiano,0.7223,0.9221,0.7805,30
resnet,full_to_limited,0.25,PlayingSitar,0.9223,0.8797,0.8998,44
resnet,full_to_limited,0.25,PlayingTabla,0.9362,0.7214,0.8069,31
resnet,full_to_limited,0.25,PlayingViolin,0.837,0.6667,0.7265,28
resnet,full_to_limited,0.25,PoleVault,0.7657,0.2135,0.3264,41
resnet,full_to_limited,0.25,PommelHorse,0.8896,0.8283,0.8549,35
resnet,full_to_limited,0.25,PullUps,0.6922,0.8214,0.7508,28
resnet,full_to_limited,0.25,Punch,0.854,0.8361,0.8436,44
resnet,full_to_limited,0.25,PushUps,0.7749,0.8365,0.771,29
resnet,full_to_limited,0.25,Rafting,0.8612,0.646,0.7267,32
resnet,full_to_limited,0.25,RockClimbingIndoor,0.5947,0.8895,0.7122,39
resnet,full_to_limited,0.25,RopeClimbing,0.4407,0.3399,0.3691,34
resnet,full_to_limited,0.25,Rowing,0.8117,0.7153,0.7412,39
resnet,full_to_limited,0.25,SalsaSpin,0.8012,0.5677,0.6462,38
resnet,full_to_limited,0.25,ShavingBeard,0.725,0.4698,0.5253,45
resnet,full_to_limited,0.25,Shotput,0.4549,0.4058,0.4134,41
resnet,full_to_limited,0.25,SkateBoarding,0.8704,0.6942,0.7655,34
resnet,full_to_limited,0.25,Skiing,0.8481,0.8456,0.8433,38
resnet,full_to_limited,0.25,Skijet,0.6909,0.7738,0.7138,28
resnet,full_to_limited,0.25,SkyDiving,0.7546,0.8475,0.7911,31
resnet,full_to_limited,0.25,SoccerJuggling,0.6381,0.6118,0.6061,40
resnet,full_to_limited,0.25,SoccerPenalty,0.8292,0.9087,0.866,39
resnet,full_to_limited,0.25,StillRings,1.0,0.5276,0.6845,31
resnet,full_to_limited,0.25,SumoWrestling,0.9459,0.9403,0.9419,33
resnet,full_to_limited,0.25,Surfing,0.756,0.8824,0.811,37
resnet,full_to_limited,0.25,Swing,0.845,0.5654,0.6601,37
resnet,full_to_limited,0.25,TableTennisShot,0.687,0.5777,0.6219,37
resnet,full_to_limited,0.25,TaiChi,0.4297,0.75,0.501,28
resnet,full_to_limited,0.25,TennisSwing,0.6734,0.6457,0.6436,47
resnet,full_to_limited,0.25,ThrowDiscus,0.4526,0.2963,0.3311,37
resnet,full_to_limited,0.25,TrampolineJumping,0.7071,0.8138,0.7398,34
resnet,full_to_limited,0.25,Typing,0.7782,0.8873,0.8223,40
resnet,full_to_limited,0.25,UnevenBars,0.859,0.6473,0.7307,29
resnet,full_to_limited,0.25,VolleyballSpiking,0.7429,0.8719,0.7998,33
resnet,full_to_limited,0.25,WalkingWithDog,0.7156,0.4938,0.5649,35
resnet,full_to_limited,0.25,WallPushups,0.7631,0.7476,0.7317,38
resnet,full_to_limited,0.25,WritingOnBoard,0.8946,0.8178,0.8471,41
resnet,full_to_limited,0.25,YoYo,0.5954,0.5701,0.577,36
resnet,full_to_limited,0.5,ApplyEyeMakeup,0.6941,0.8877,0.7564,40
resnet,full_to_limited,0.5,ApplyLipstick,0.6883,0.814,0.7347,31
resnet,full_to_limited,0.5,Archery,0.6318,0.3111,0.4129,40
resnet,full_to_limited,0.5,BabyCrawling,0.7821,0.7365,0.7545,36
resnet,full_to_limited,0.5,BalanceBeam,0.9164,0.6415,0.7429,30
resnet,full_to_limited,0.5,BandMarching,0.8141,0.8086,0.806,44
resnet,full_to_limited,0.5,BaseballPitch,0.8384,0.8294,0.8243,41
resnet,full_to_limited,0.5,Basketball,0.7479,0.5368,0.6092,37
resnet,full_to_limited,0.5,BasketballDunk,0.9313,0.9734,0.9507,38
resnet,full_to_limited,0.5,BenchPress,0.9921,0.9535,0.9722,45
resnet,full_to_limited,0.5,Biking,0.8625,0.8158,0.8048,38
resnet,full_to_limited,0.5,Billiards,0.9317,0.9758,0.9519,43
resnet,full_to_limited,0.5,BlowDryHair,0.7328,0.5444,0.5998,37
resnet,full_to_limited,0.5,BlowingCandles,0.6924,0.9232,0.7809,30
resnet,full_to_limited,0.5,BodyWeightSquats,0.4302,0.4451,0.413,31
resnet,full_to_limited,0.5,Bowling,0.9607,0.9302,0.9443,43
resnet,full_to_limited,0.5,BoxingPunchingBag,0.8567,0.4333,0.5304,45
resnet,full_to_limited,0.5,BoxingSpeedBag,0.8056,0.7968,0.7994,38
resnet,full_to_limited,0.5,BreastStroke,0.7631,0.7303,0.7391,28
resnet,full_to_limited,0.5,BrushingTeeth,0.5151,0.3137,0.3839,35
resnet,full_to_limited,0.5,CleanAndJerk,0.9244,0.7646,0.8277,32
resnet,full_to_limited,0.5,CliffDiving,0.8667,0.5586,0.6718,39
resnet,full_to_limited,0.5,CricketBowling,0.4119,0.6026,0.4849,39
resnet,full_to_limited,0.5,CricketShot,0.6626,0.2506,0.3615,47
resnet,full_to_limited,0.5,CuttingInKitchen,0.6595,0.9159,0.725,31
resnet,full_to_limited,0.5,Diving,0.9066,0.9446,0.9239,42
resnet,full_to_limited,0.5,Drumming,0.829,0.7524,0.7847,45
resnet,full_to_limited,0.5,Fencing,0.9321,0.7716,0.838,32
resnet,full_to_limited,0.5,FieldHockeyPenalty,0.541,0.8438,0.654,36
resnet,full_to_limited,0.5,FloorGymnastics,0.7593,0.8129,0.7793,36
resnet,full_to_limited,0.5,FrisbeeCatch,0.7911,0.774,0.7645,36
resnet,full_to_limited,0.5,FrontCrawl,0.727,0.733,0.7144,38
resnet,full_to_limited,0.5,GolfSwing,0.515,0.7593,0.5952,37
resnet,full_to_limited,0.5,Haircut,0.5843,0.6195,0.5911,35
resnet,full_to_limited,0.5,HammerThrow,0.0,0.0,0.0,42
resnet,full_to_limited,0.5,Hammering,0.0,0.0,0.0,39
resnet,full_to_limited,0.5,HandstandPushups,0.857,0.6755,0.7542,36
resnet,full_to_limited,0.5,HandstandWalking,0.1594,0.3904,0.2106,31
resnet,full_to_limited,0.5,HeadMassage,0.7211,0.6646,0.6436,41
resnet,full_to_limited,0.5,HighJump,0.2519,0.0493,0.0814,34
resnet,full_to_limited,0.5,HorseRace,0.9244,0.9703,0.9451,35
resnet,full_to_limited,0.5,HorseRiding,0.8944,0.9621,0.925,46
resnet,full_to_limited,0.5,HulaHoop,0.4091,0.7196,0.4965,35
resnet,full_to_limited,0.5,IceDancing,0.8826,0.9689,0.9227,43
resnet,full_to_limited,0.5,JavelinThrow,0.2749,0.6703,0.3889,32
resnet,full_to_limited,0.5,JugglingBalls,0.5702,0.7769,0.6471,34
resnet,full_to_limited,0.5,JumpRope,0.023,0.0155,0.0185,40
resnet,full_to_limited,0.5,JumpingJack,0.0208,0.0323,0.0253,35
resnet,full_to_limited,0.5,Kayaking,0.7894,0.5201,0.5842,39
resnet,full_to_limited,0.5,Knitting,0.8408,0.9052,0.8696,35
resnet,full_to_limited,0.5,LongJump,0.9608,0.3444,0.4422,38
resnet,full_to_limited,0.5,Lunges,0.3877,0.3926,0.3692,36
resnet,full_to_limited,0.5,MilitaryParade,0.6778,0.8231,0.7357,35
resnet,full_to_limited,0.5,Mixing,0.7731,0.7886,0.7662,40
resnet,full_to_limited,0.5,MoppingFloor,0.4962,0.5783,0.4976,31
resnet,full_to_limited,0.5,Nunchucks,0.5161,0.3667,0.3978,37
resnet,full_to_limited,0.5,ParallelBars,0.9006,0.6494,0.7479,33
resnet,full_to_limited,0.5,PizzaTossing,0.2314,0.0777,0.1076,30
resnet,full_to_limited,0.5,PlayingCello,0.8927,0.9032,0.897,45
resnet,full_to_limited,0.5,PlayingDaf,0.693,0.8224,0.7491,42
resnet,full_to_limited,0.5,PlayingDhol,0.922,0.7806,0.8428,46
resnet,full_to_limited,0.5,PlayingFlute,0.7001,0.6845,0.6918,44
resnet,full_to_limited,0.5,PlayingGuitar,0.8789,0.9147,0.8842,46
resnet,full_to_limited,0.5,PlayingPiano,0.7922,0.9221,0.8357,30
resnet,full_to_limited,0.5,PlayingSitar,0.9509,0.858,0.901,44
resnet,full_to_limited,0.5,PlayingTabla,0.9429,0.6999,0.7907,31
resnet,full_to_limited,0.5,PlayingViolin,0.85,0.75,0.7754,28
resnet,full_to_limited,0.5,PoleVault,0.8597,0.4454,0.5617,41
resnet,full_to_limited,0.5,PommelHorse,0.9375,0.8087,0.8659,35
resnet,full_to_limited,0.5,PullUps,0.6386,0.7857,0.7017,28
resnet,full_to_limited,0.5,Punch,0.8409,0.8675,0.8537,44
resnet,full_to_limited,0.5,PushUps,0.8576,0.896,0.8673,29
resnet,full_to_limited,0.5,Rafting,0.874,0.6864,0.7634,32
resnet,full_to_limited,0.5,RockClimbingIndoor,0.6546,0.8891,0.7534,39
resnet,full_to_limited,0.5,RopeClimbing,0.5946,0.517,0.5365,34
resnet,full_to_limited,0.5,Rowing,0.8536,0.711,0.7519,39
resnet,full_to_limited,0.5,SalsaSpin,0.814,0.6134,0.6901,38
resnet,full_to_limited,0.5,ShavingBeard,0.7425,0.4776,0.5465,45
resnet,full_to_limited,0.5,Shotput,0.5139,0.4407,0.4526,41
resnet,full_to_limited,0.5,SkateBoarding,0.9078,0.7534,0.8206,34
resnet,full_to_limited,0.5,Skiing,0.8394,0.8535,0.8402,38
resnet,full_to_limited,0.5,Skijet,0.7083,0.881,0.7697,28
resnet,full_to_limited,0.5,SkyDiving,0.8133,0.868,0.8348,31
resnet,full_to_limited,0.5,SoccerJuggling,0.6415,0.6118,0.6095,40
resnet,full_to_limited,0.5,SoccerPenalty,0.8757,0.9169,0.8951,39
resnet,full_to_limited,0.5,StillRings,0.942,0.5599,0.6939,31
resnet,full_to_limited,0.5,SumoWrestling,0.9411,0.9403,0.9405,33
resnet,full_to_limited,0.5,Surfing,0.8028,0.8986,0.8448,37
resnet,full_to_limited,0.5,Swing,0.8218,0.6396,0.6949,37
resnet,full_to_limited,0.5,TableTennisShot,0.7086,0.6112,0.6479,37
resnet,full_to_limited,0.5,TaiChi,0.488,0.8214,0.5738,28
resnet,full_to_limited,0.5,TennisSwing,0.7424,0.7006,0.7052,47
resnet,full_to_limited,0.5,ThrowDiscus,0.5579,0.3859,0.4248,37
resnet,full_to_limited,0.5,TrampolineJumping,0.7302,0.8335,0.76,34
resnet,full_to_limited,0.5,Typing,0.8293,0.8615,0.8408,40
resnet,full_to_limited,0.5,UnevenBars,0.8436,0.683,0.7519,29
resnet,full_to_limited,0.5,VolleyballSpiking,0.7863,0.919,0.8463,33
resnet,full_to_limited,0.5,WalkingWithDog,0.7728,0.5608,0.6345,35
resnet,full_to_limited,0.5,WallPushups,0.8109,0.7508,0.7567,38
resnet,full_to_limited,0.5,WritingOnBoard,0.8917,0.8422,0.8626,41
resnet,full_to_limited,0.5,YoYo,0.7088,0.6267,0.6627,36
timesformer,direct,0.1,ApplyEyeMakeup,0.6489,0.9124,0.7445,40
timesformer,direct,0.1,ApplyLipstick,0.8,0.6277,0.7006,31
timesformer,direct,0.1,Archery,0.7964,0.3885,0.5098,40
timesformer,direct,0.1,BabyCrawling,0.71,0.568,0.5981,36
timesformer,direct,0.1,BalanceBeam,0.7493,0.7075,0.6909,30
timesformer,direct,0.1,BandMarching,0.8561,0.9228,0.8862,44
timesformer,direct,0.1,BaseballPitch,0.952,0.8103,0.8749,41
timesformer,direct,0.1,Basketball,0.904,0.3424,0.4935,37
timesformer,direct,0.1,BasketballDunk,0.8908,0.9741,0.9234,38
timesformer,direct,0.1,BenchPress,0.8678,0.8395,0.8488,45
timesformer,direct,0.1,Biking,0.8917,0.8941,0.8912,38
timesformer,direct,0.1,Billiards,1.0,0.9683,0.9833,43
timesformer,direct,0.1,BlowDryHair,0.9507,0.51,0.6161,37
timesformer,direct,0.1,BlowingCandles,0.7144,0.8762,0.7495,30
timesformer,direct,0.1,BodyWeightSquats,0.5173,0.3701,0.3842,31
timesformer,direct,0.1,Bowling,0.862,0.9767,0.9049,43
timesformer,direct,0.1,BoxingPunchingBag,0.888,0.7175,0.7926,45
timesformer,direct,0.1,BoxingSpeedBag,0.7874,0.8086,0.7855,38
timesformer,direct,0.1,BreastStroke,0.7929,0.4425,0.5099,28
timesformer,direct,0.1,BrushingTeeth,0.6126,0.3464,0.4258,35
timesformer,direct,0.1,CleanAndJerk,0.6955,0.7253,0.7026,32
timesformer,direct,0.1,CliffDiving,0.7374,0.7857,0.728,39
timesformer,direct,0.1,CricketBowling,0.4658,0.3078,0.3599,39
timesformer,direct,0.1,CricketShot,0.5352,0.6146,0.5687,47
