model,experiment,condition,class,precision,recall,f1,support
timesformer,full_to_limited,0.1,FrisbeeCatch,0.6905,0.8479,0.7521,36
timesformer,full_to_limited,0.1,FrontCrawl,0.7411,0.7649,0.7428,38
timesformer,full_to_limited,0.1,GolfSwing,0.4577,0.8072,0.5657,37
timesformer,full_to_limited,0.1,Haircut,0.3959,0.8898,0.5326,35
timesformer,full_to_limited,0.1,HammerThrow,0.0,0.0,0.0,42
timesformer,full_to_limited,0.1,Hammering,0.0,0.0,0.0,39
timesformer,full_to_limited,0.1,HandstandPushups,0.7139,0.7721,0.7324,36
timesformer,full_to_limited,0.1,HandstandWalking,0.3762,0.3001,0.3313,31
timesformer,full_to_limited,0.1,HeadMassage,0.7896,0.7453,0.7595,41
timesformer,full_to_limited,0.1,HighJump,0.3833,0.0939,0.1396,34
timesformer,full_to_limited,0.1,HorseRace,1.0,0.7658,0.864,35
timesformer,full_to_limited,0.1,HorseRiding,0.9365,0.8939,0.9098,46
timesformer,full_to_limited,0.1,HulaHoop,0.8905,0.6496,0.7498,35
timesformer,full_to_limited,0.1,IceDancing,0.9683,0.961,0.9644,43
timesformer,full_to_limited,0.1,JavelinThrow,0.2818,0.4145,0.288,32
timesformer,full_to_limited,0.1,JugglingBalls,0.6552,0.7516,0.6897,34
timesformer,full_to_limited,0.1,JumpRope,0.1111,0.0388,0.0575,40
timesformer,full_to_limited,0.1,JumpingJack,0.1105,0.2709,0.1566,35
timesformer,full_to_limited,0.1,Kayaking,0.9076,0.6614,0.7101,39
timesformer,full_to_limited,0.1,Knitting,1.0,0.951,0.9742,35
timesformer,full_to_limited,0.1,LongJump,0.8667,0.2347,0.3561,38
timesformer,full_to_limited,0.1,Lunges,0.3893,0.4054,0.39,36
timesformer,full_to_limited,0.1,MilitaryParade,0.9378,0.7186,0.8128,35
timesformer,full_to_limited,0.1,Mixing,0.7902,0.9515,0.851,40
timesformer,full_to_limited,0.1,MoppingFloor,0.7689,0.599,0.6698,31
timesformer,full_to_limited,0.1,Nunchucks,0.2651,0.4814,0.3214,37
timesformer,full_to_limited,0.1,ParallelBars,0.8616,0.4825,0.6062,33
timesformer,full_to_limited,0.1,PizzaTossing,0.3866,0.334,0.2827,30
timesformer,full_to_limited,0.1,PlayingCello,0.9333,0.8263,0.8563,45
timesformer,full_to_limited,0.1,PlayingDaf,0.8927,0.9171,0.8999,42
timesformer,full_to_limited,0.1,PlayingDhol,0.7795,0.949,0.8357,46
timesformer,full_to_limited,0.1,PlayingFlute,0.7104,0.7718,0.7084,44
timesformer,full_to_limited,0.1,PlayingGuitar,0.9928,0.8699,0.9246,46
timesformer,full_to_limited,0.1,PlayingPiano,0.8873,0.8745,0.8782,30
timesformer,full_to_limited,0.1,PlayingSitar,1.0,0.8307,0.8983,44
timesformer,full_to_limited,0.1,PlayingTabla,0.765,0.9036,0.7973,31
timesformer,full_to_limited,0.1,PlayingViolin,0.9522,0.7857,0.8498,28
timesformer,full_to_limited,0.1,PoleVault,0.6889,0.5484,0.5234,41
timesformer,full_to_limited,0.1,PommelHorse,0.9896,0.8849,0.933,35
timesformer,full_to_limited,0.1,PullUps,0.8994,0.6905,0.759,28
timesformer,full_to_limited,0.1,Punch,0.9578,0.886,0.9204,44
timesformer,full_to_limited,0.1,PushUps,0.7678,0.5802,0.6033,29
timesformer,full_to_limited,0.1,Rafting,0.851,0.8057,0.8249,32
timesformer,full_to_limited,0.1,RockClimbingIndoor,0.9101,0.8716,0.8902,39
timesformer,full_to_limited,0.1,RopeClimbing,0.4109,0.3907,0.3589,34
timesformer,full_to_limited,0.1,Rowing,0.7856,0.8877,0.8288,39
timesformer,full_to_limited,0.1,SalsaSpin,0.8234,0.7296,0.7538,38
timesformer,full_to_limited,0.1,ShavingBeard,0.6926,0.5241,0.5773,45
timesformer,full_to_limited,0.1,Shotput,0.7219,0.4398,0.5304,41
timesformer,full_to_limited,0.1,SkateBoarding,0.9193,0.8235,0.8616,34
timesformer,full_to_limited,0.1,Skiing,0.9294,0.7845,0.8492,38
timesformer,full_to_limited,0.1,Skijet,0.7887,0.8929,0.8326,28
timesformer,full_to_limited,0.1,SkyDiving,0.9596,0.8238,0.8761,31
timesformer,full_to_limited,0.1,SoccerJuggling,0.5963,0.5939,0.5914,40
timesformer,full_to_limited,0.1,SoccerPenalty,0.9681,0.7883,0.8673,39
timesformer,full_to_limited,0.1,StillRings,0.909,0.6227,0.7376,31
timesformer,full_to_limited,0.1,SumoWrestling,0.9317,0.9495,0.9391,33
timesformer,full_to_limited,0.1,Surfing,0.9298,0.866,0.892,37
timesformer,full_to_limited,0.1,Swing,0.8667,0.6275,0.6774,37
timesformer,full_to_limited,0.1,TableTennisShot,0.8379,0.5692,0.6561,37
timesformer,full_to_limited,0.1,TaiChi,0.3407,0.6429,0.4346,28
timesformer,full_to_limited,0.1,TennisSwing,0.629,0.7885,0.6998,47
timesformer,full_to_limited,0.1,ThrowDiscus,0.4399,0.356,0.3699,37
timesformer,full_to_limited,0.1,TrampolineJumping,0.91,0.774,0.8363,34
timesformer,full_to_limited,0.1,Typing,0.9324,0.9423,0.936,40
timesformer,full_to_limited,0.1,UnevenBars,0.7778,0.7054,0.7333,29
timesformer,full_to_limited,0.1,VolleyballSpiking,0.8107,0.7927,0.8016,33
timesformer,full_to_limited,0.1,WalkingWithDog,0.7081,0.6117,0.6529,35
timesformer,full_to_limited,0.1,WallPushups,0.7254,0.7132,0.6992,38
timesformer,full_to_limited,0.1,WritingOnBoard,0.8788,0.8893,0.8706,41
timesformer,full_to_limited,0.1,YoYo,0.7083,0.5606,0.5817,36
timesformer,full_to_limited,0.25,ApplyEyeMakeup,0.831,0.6557,0.7316,40
timesformer,full_to_limited,0.25,ApplyLipstick,0.5846,0.8802,0.6799,31
timesformer,full_to_limited,0.25,Archery,0.6746,0.4756,0.5558,40
timesformer,full_to_limited,0.25,BabyCrawling,0.8954,0.8039,0.8333,36
timesformer,full_to_limited,0.25,BalanceBeam,0.8929,0.7935,0.8365,30
timesformer,full_to_limited,0.25,BandMarching,0.7612,0.9623,0.8488,44
timesformer,full_to_limited,0.25,BaseballPitch,0.9776,0.6129,0.7357,41
timesformer,full_to_limited,0.25,Basketball,0.9697,0.4404,0.5914,37
timesformer,full_to_limited,0.25,BasketballDunk,0.9582,0.9491,0.9514,38
timesformer,full_to_limited,0.25,BenchPress,0.9127,0.9323,0.9219,45
timesformer,full_to_limited,0.25,Biking,0.9833,0.9009,0.9368,38
timesformer,full_to_limited,0.25,Billiards,1.0,0.9837,0.9918,43
timesformer,full_to_limited,0.25,BlowDryHair,0.7658,0.4554,0.5464,37
timesformer,full_to_limited,0.25,BlowingCandles,0.8624,0.8598,0.8562,30
timesformer,full_to_limited,0.25,BodyWeightSquats,0.7291,0.4562,0.559,31
timesformer,full_to_limited,0.25,Bowling,0.9841,0.9535,0.9683,43
timesformer,full_to_limited,0.25,BoxingPunchingBag,0.8993,0.7706,0.8272,45
timesformer,full_to_limited,0.25,BoxingSpeedBag,0.7695,0.8559,0.8069,38
timesformer,full_to_limited,0.25,BreastStroke,0.872,0.585,0.6572,28
timesformer,full_to_limited,0.25,BrushingTeeth,0.4952,0.3922,0.4294,35
timesformer,full_to_limited,0.25,CleanAndJerk,0.8139,0.6677,0.7258,32
timesformer,full_to_limited,0.25,CliffDiving,0.7596,0.743,0.6882,39
timesformer,full_to_limited,0.25,CricketBowling,0.5747,0.4923,0.5274,39
timesformer,full_to_limited,0.25,CricketShot,0.5577,0.5863,0.5527,47
timesformer,full_to_limited,0.25,CuttingInKitchen,0.9639,0.8862,0.9219,31
timesformer,full_to_limited,0.25,Diving,0.8712,0.9545,0.9054,42
timesformer,full_to_limited,0.25,Drumming,0.7211,0.8773,0.7557,45
timesformer,full_to_limited,0.25,Fencing,0.9902,0.8582,0.9169,32
timesformer,full_to_limited,0.25,FieldHockeyPenalty,0.7547,0.789,0.7543,36
timesformer,full_to_limited,0.25,FloorGymnastics,0.8658,0.8706,0.8671,36
timesformer,full_to_limited,0.25,FrisbeeCatch,0.7052,0.8683,0.7689,36
timesformer,full_to_limited,0.25,FrontCrawl,0.7737,0.8695,0.8126,38
timesformer,full_to_limited,0.25,GolfSwing,0.5705,0.8779,0.68,37
timesformer,full_to_limited,0.25,Haircut,0.4473,0.8993,0.5829,35
timesformer,full_to_limited,0.25,HammerThrow,0.0,0.0,0.0,42
timesformer,full_to_limited,0.25,Hammering,0.0,0.0,0.0,39
timesformer,full_to_limited,0.25,HandstandPushups,0.7698,0.7443,0.7518,36
timesformer,full_to_limited,0.25,HandstandWalking,0.5298,0.3822,0.4417,31
timesformer,full_to_limited,0.25,HeadMassage,0.7761,0.8354,0.8033,41
timesformer,full_to_limited,0.25,HighJump,0.4333,0.1252,0.1819,34
timesformer,full_to_limited,0.25,HorseRace,0.9744,0.8242,0.8921,35
timesformer,full_to_limited,0.25,HorseRiding,0.9232,0.9621,0.9392,46
timesformer,full_to_limited,0.25,HulaHoop,0.9227,0.6694,0.7692,35
timesformer,full_to_limited,0.25,IceDancing,0.9777,0.9769,0.9772,43
timesformer,full_to_limited,0.25,JavelinThrow,0.3486,0.5187,0.3654,32
timesformer,full_to_limited,0.25,JugglingBalls,0.7392,0.8159,0.7687,34
timesformer,full_to_limited,0.25,JumpRope,0.0222,0.0078,0.0115,40
timesformer,full_to_limited,0.25,JumpingJack,0.0485,0.0718,0.0572,35
timesformer,full_to_limited,0.25,Kayaking,0.8717,0.719,0.7465,39
timesformer,full_to_limited,0.25,Knitting,0.9902,0.9706,0.9801,35
timesformer,full_to_limited,0.25,LongJump,0.8736,0.3313,0.4562,38
timesformer,full_to_limited,0.25,Lunges,0.4252,0.4509,0.4278,36
timesformer,full_to_limited,0.25,MilitaryParade,0.9861,0.7177,0.8301,35
timesformer,full_to_limited,0.25,Mixing,0.833,0.9515,0.879,40
timesformer,full_to_limited,0.25,MoppingFloor,0.7852,0.7129,0.7426,31
timesformer,full_to_limited,0.25,Nunchucks,0.2968,0.5272,0.3646,37
timesformer,full_to_limited,0.25,ParallelBars,0.8645,0.5874,0.6931,33
timesformer,full_to_limited,0.25,PizzaTossing,0.5726,0.3974,0.3176,30
timesformer,full_to_limited,0.25,PlayingCello,0.9495,0.8712,0.8934,45
timesformer,full_to_limited,0.25,PlayingDaf,0.9408,0.9319,0.9336,42
timesformer,full_to_limited,0.25,PlayingDhol,0.8371,0.9641,0.8868,46
timesformer,full_to_limited,0.25,PlayingFlute,0.7591,0.8264,0.7666,44
timesformer,full_to_limited,0.25,PlayingGuitar,1.0,0.8669,0.9258,46
timesformer,full_to_limited,0.25,PlayingPiano,0.9444,0.8864,0.9115,30
timesformer,full_to_limited,0.25,PlayingSitar,1.0,0.8839,0.9314,44
timesformer,full_to_limited,0.25,PlayingTabla,0.83,0.9036,0.8471,31
timesformer,full_to_limited,0.25,PlayingViolin,0.9389,0.8333,0.8791,28
timesformer,full_to_limited,0.25,PoleVault,0.6391,0.6452,0.5811,41
timesformer,full_to_limited,0.25,PommelHorse,1.0,0.9235,0.9589,35
timesformer,full_to_limited,0.25,PullUps,0.9087,0.6548,0.7437,28
timesformer,full_to_limited,0.25,Punch,0.9737,0.8934,0.9318,44
timesformer,full_to_limited,0.25,PushUps,0.8194,0.6397,0.6687,29
timesformer,full_to_limited,0.25,Rafting,0.8885,0.8399,0.8624,32
timesformer,full_to_limited,0.25,RockClimbingIndoor,0.8893,0.8973,0.8931,39
timesformer,full_to_limited,0.25,RopeClimbing,0.4901,0.5375,0.4889,34
timesformer,full_to_limited,0.25,Rowing,0.8251,0.8863,0.8511,39
timesformer,full_to_limited,0.25,SalsaSpin,0.8448,0.7685,0.7863,38
timesformer,full_to_limited,0.25,ShavingBeard,0.767,0.5874,0.6619,45
timesformer,full_to_limited,0.25,Shotput,0.7031,0.4443,0.5349,41
timesformer,full_to_limited,0.25,SkateBoarding,0.8867,0.8732,0.8737,34
timesformer,full_to_limited,0.25,Skiing,0.9093,0.873,0.8896,38
timesformer,full_to_limited,0.25,Skijet,0.8372,0.9286,0.8772,28
timesformer,full_to_limited,0.25,SkyDiving,0.9596,0.8444,0.8896,31
timesformer,full_to_limited,0.25,SoccerJuggling,0.7651,0.6591,0.7068,40
timesformer,full_to_limited,0.25,SoccerPenalty,0.9815,0.805,0.8813,39
timesformer,full_to_limited,0.25,StillRings,0.9154,0.697,0.7895,31
timesformer,full_to_limited,0.25,SumoWrestling,0.97,0.9495,0.9582,33
timesformer,full_to_limited,0.25,Surfing,0.9386,0.9022,0.9163,37
timesformer,full_to_limited,0.25,Swing,0.8791,0.6943,0.7333,37
timesformer,full_to_limited,0.25,TableTennisShot,0.8725,0.5879,0.6827,37
timesformer,full_to_limited,0.25,TaiChi,0.4561,0.7024,0.5123,28
timesformer,full_to_limited,0.25,TennisSwing,0.6449,0.8318,0.7264,47
timesformer,full_to_limited,0.25,ThrowDiscus,0.5254,0.4651,0.4702,37
timesformer,full_to_limited,0.25,TrampolineJumping,0.9156,0.7936,0.8489,34
timesformer,full_to_limited,0.25,Typing,0.9384,0.9603,0.9472,40
timesformer,full_to_limited,0.25,UnevenBars,0.8284,0.8333,0.8265,29
timesformer,full_to_limited,0.25,VolleyballSpiking,0.7688,0.9177,0.8363,33
timesformer,full_to_limited,0.25,WalkingWithDog,0.7506,0.734,0.742,35
timesformer,full_to_limited,0.25,WallPushups,0.824,0.7444,0.77,38
timesformer,full_to_limited,0.25,WritingOnBoard,0.8872,0.9232,0.8979,41
timesformer,full_to_limited,0.25,YoYo,0.7636,0.5886,0.6445,36
timesformer,full_to_limited,0.5,ApplyEyeMakeup,0.9036,0.6818,0.7739,40
timesformer,full_to_limited,0.5,ApplyLipstick,0.6525,0.8917,0.7295,31
timesformer,full_to_limited,0.5,Archery,0.764,0.6076,0.6717,40
timesformer,full_to_limited,0.5,BabyCrawling,0.8981,0.8496,0.8603,36
timesformer,full_to_limited,0.5,BalanceBeam,0.9329,0.815,0.8655,30
timesformer,full_to_limited,0.5,BandMarching,0.8085,0.9623,0.8781,44
timesformer,full_to_limited,0.5,BaseballPitch,0.9705,0.6717,0.7733,41
timesformer,full_to_limited,0.5,Basketball,0.9507,0.5421,0.6891,37
timesformer,full_to_limited,0.5,BasketballDunk,0.9585,0.975,0.9654,38
timesformer,full_to_limited,0.5,BenchPress,0.9339,0.9251,0.9283,45
timesformer,full_to_limited,0.5,Biking,0.9833,0.9102,0.9426,38
timesformer,full_to_limited,0.5,Billiards,1.0,1.0,1.0,43
timesformer,full_to_limited,0.5,BlowDryHair,0.8699,0.5272,0.6322,37
timesformer,full_to_limited,0.5,BlowingCandles,0.8718,0.88,0.8722,30
timesformer,full_to_limited,0.5,BodyWeightSquats,0.7446,0.5437,0.6274,31
timesformer,full_to_limited,0.5,Bowling,0.9767,0.9535,0.9647,43
timesformer,full_to_limited,0.5,BoxingPunchingBag,0.9055,0.7985,0.8486,45
timesformer,full_to_limited,0.5,BoxingSpeedBag,0.7561,0.8649,0.8007,38
timesformer,full_to_limited,0.5,BreastStroke,0.9104,0.6556,0.713,28
timesformer,full_to_limited,0.5,BrushingTeeth,0.4997,0.4706,0.4812,35
timesformer,full_to_limited,0.5,CleanAndJerk,0.8827,0.804,0.835,32
timesformer,full_to_limited,0.5,CliffDiving,0.7876,0.8804,0.792,39
timesformer,full_to_limited,0.5,CricketBowling,0.5877,0.4759,0.5228,39
timesformer,full_to_limited,0.5,CricketShot,0.586,0.6096,0.5824,47
timesformer,full_to_limited,0.5,CuttingInKitchen,0.9734,0.8844,0.9244,31
timesformer,full_to_limited,0.5,Diving,0.8982,0.947,0.9178,42
timesformer,full_to_limited,0.5,Drumming,0.7667,0.8986,0.799,45
timesformer,full_to_limited,0.5,Fencing,0.9696,0.868,0.9122,32
timesformer,full_to_limited,0.5,FieldHockeyPenalty,0.7621,0.8085,0.7715,36
timesformer,full_to_limited,0.5,FloorGymnastics,0.8891,0.9272,0.9051,36
timesformer,full_to_limited,0.5,FrisbeeCatch,0.6693,0.8789,0.7443,36
timesformer,full_to_limited,0.5,FrontCrawl,0.8159,0.8783,0.8372,38
timesformer,full_to_limited,0.5,GolfSwing,0.6854,0.9136,0.7707,37
timesformer,full_to_limited,0.5,Haircut,0.4591,0.8999,0.5923,35
timesformer,full_to_limited,0.5,HammerThrow,0.0,0.0,0.0,42
timesformer,full_to_limited,0.5,Hammering,0.0,0.0,0.0,39
timesformer,full_to_limited,0.5,HandstandPushups,0.7925,0.7523,0.7667,36
timesformer,full_to_limited,0.5,HandstandWalking,0.5606,0.4689,0.506,31
timesformer,full_to_limited,0.5,HeadMassage,0.8019,0.8683,0.8321,41
timesformer,full_to_limited,0.5,HighJump,0.7121,0.2576,0.3447,34
timesformer,full_to_limited,0.5,HorseRace,1.0,0.8929,0.943,35
timesformer,full_to_limited,0.5,HorseRiding,0.9532,0.9545,0.9512,46
timesformer,full_to_limited,0.5,HulaHoop,0.9467,0.688,0.7888,35
timesformer,full_to_limited,0.5,IceDancing,0.9644,0.9921,0.9777,43
timesformer,full_to_limited,0.5,JavelinThrow,0.4686,0.5907,0.4607,32
timesformer,full_to_limited,0.5,JugglingBalls,0.7652,0.8174,0.7869,34
timesformer,full_to_limited,0.5,JumpRope,0.0476,0.0155,0.0234,40
timesformer,full_to_limited,0.5,JumpingJack,0.0576,0.0825,0.0676,35
timesformer,full_to_limited,0.5,Kayaking,0.9542,0.7262,0.7773,39
timesformer,full_to_limited,0.5,Knitting,0.9801,0.9706,0.975,35
timesformer,full_to_limited,0.5,LongJump,0.8723,0.487,0.6048,38
timesformer,full_to_limited,0.5,Lunges,0.4868,0.4312,0.4383,36
timesformer,full_to_limited,0.5,MilitaryParade,0.9743,0.7461,0.8441,35
timesformer,full_to_limited,0.5,Mixing,0.8608,0.9515,0.8958,40
timesformer,full_to_limited,0.5,MoppingFloor,0.8598,0.7352,0.7853,31
timesformer,full_to_limited,0.5,Nunchucks,0.328,0.5379,0.3873,37
timesformer,full_to_limited,0.5,ParallelBars,0.9095,0.7299,0.8055,33
timesformer,full_to_limited,0.5,PizzaTossing,0.31,0.4305,0.3604,30
timesformer,full_to_limited,0.5,PlayingCello,0.9568,0.8562,0.8874,45
timesformer,full_to_limited,0.5,PlayingDaf,0.9347,0.94,0.9344,42
timesformer,full_to_limited,0.5,PlayingDhol,0.8242,0.9849,0.8922,46
timesformer,full_to_limited,0.5,PlayingFlute,0.7736,0.8413,0.785,44
timesformer,full_to_limited,0.5,PlayingGuitar,1.0,0.8816,0.9348,46
timesformer,full_to_limited,0.5,PlayingPiano,0.9798,0.8965,0.9348,30
timesformer,full_to_limited,0.5,PlayingSitar,1.0,0.8916,0.9368,44
timesformer,full_to_limited,0.5,PlayingTabla,0.8677,0.9355,0.888,31
timesformer,full_to_limited,0.5,PlayingViolin,0.9422,0.8571,0.8941,28
timesformer,full_to_limited,0.5,PoleVault,0.6636,0.8299,0.6922,41
timesformer,full_to_limited,0.5,PommelHorse,0.9881,0.9143,0.9476,35
timesformer,full_to_limited,0.5,PullUps,0.8966,0.7024,0.7752,28
timesformer,full_to_limited,0.5,Punch,1.0,0.8795,0.9354,44
timesformer,full_to_limited,0.5,PushUps,0.8514,0.6381,0.6813,29
timesformer,full_to_limited,0.5,Rafting,0.9175,0.91,0.9133,32
timesformer,full_to_limited,0.5,RockClimbingIndoor,0.8842,0.9226,0.903,39
timesformer,full_to_limited,0.5,RopeClimbing,0.5961,0.5577,0.5544,34
timesformer,full_to_limited,0.5,Rowing,0.8386,0.9337,0.8824,39
timesformer,full_to_limited,0.5,SalsaSpin,0.9061,0.8283,0.8464,38
timesformer,full_to_limited,0.5,ShavingBeard,0.7914,0.6114,0.6866,45
timesformer,full_to_limited,0.5,Shotput,0.7959,0.4967,0.6005,41
timesformer,full_to_limited,0.5,SkateBoarding,0.9144,0.8821,0.8923,34
timesformer,full_to_limited,0.5,Skiing,0.9192,0.8813,0.8972,38
timesformer,full_to_limited,0.5,Skijet,0.8445,0.9643,0.8973,28
timesformer,full_to_limited,0.5,SkyDiving,0.951,0.8963,0.917,31
timesformer,full_to_limited,0.5,SoccerJuggling,0.7493,0.7174,0.7328,40
timesformer,full_to_limited,0.5,SoccerPenalty,0.9905,0.805,0.8852,39
timesformer,full_to_limited,0.5,StillRings,0.912,0.772,0.8339,31
timesformer,full_to_limited,0.5,SumoWrestling,0.9622,0.9596,0.96,33
timesformer,full_to_limited,0.5,Surfing,0.951,0.9079,0.9282,37
timesformer,full_to_limited,0.5,Swing,0.8963,0.7274,0.7709,37
timesformer,full_to_limited,0.5,TableTennisShot,0.8862,0.625,0.7132,37
timesformer,full_to_limited,0.5,TaiChi,0.5178,0.7381,0.5501,28
timesformer,full_to_limited,0.5,TennisSwing,0.6881,0.8678,0.7674,47
timesformer,full_to_limited,0.5,ThrowDiscus,0.5238,0.4904,0.4721,37
timesformer,full_to_limited,0.5,TrampolineJumping,0.8695,0.7838,0.8244,34
timesformer,full_to_limited,0.5,Typing,0.9508,0.9458,0.9461,40
timesformer,full_to_limited,0.5,UnevenBars,0.9119,0.8452,0.8724,29
timesformer,full_to_limited,0.5,VolleyballSpiking,0.818,0.9476,0.8769,33
timesformer,full_to_limited,0.5,WalkingWithDog,0.7454,0.8004,0.7715,35
timesformer,full_to_limited,0.5,WallPushups,0.8786,0.7828,0.8142,38
timesformer,full_to_limited,0.5,WritingOnBoard,0.9195,0.9385,0.922,41
timesformer,full_to_limited,0.5,YoYo,0.8205,0.5429,0.6171,36
